DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EE,2022,23.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EE,2023,21.8,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2014,55.2,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2015,58.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2016,60.0,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2017,58.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2018,62.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2019,53.2,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2020,49.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2021,62.6,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2022,49.5,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EL,2023,41.6,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2014,52.5,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2015,50.7,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2016,47.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2017,43.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2018,40.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2019,38.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2020,45.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2021,45.7,bd
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2022,40.1,d
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,ES,2023,36.6,d
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2014,29.9,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2015,29.0,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2016,27.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2017,25.2,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2018,22.7,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2019,21.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2020,24.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2021,24.2,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2022,20.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,EU27_2020,2023,19.6,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2014,28.0,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2015,30.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2016,30.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2017,31.3,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2018,25.7,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2019,24.2,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2020,30.5,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2021,23.3,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2022,22.1,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FI,2023,21.5,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2014,36.2,b
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2015,38.2,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2016,41.5,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2017,34.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2018,34.4,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2019,33.9,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2020,35.8,
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2021,32.0,bd
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2022,26.6,d
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,FR,2023,29.7,d
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2014,64.6,bu
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2015,47.0,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2016,70.9,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2017,37.5,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2018,23.3,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2019,25.7,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2020,52.0,u
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2021,,bu
ESTAT:YTH_EMPL_090(1.0),13/06/24 23:00:00,A,F,Y15-29,PC,ED0-2,HR,2022,58.5,u
